date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:54	4837/4837	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:30%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-6.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Portfolio/corporate-portfolio-6.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:55	394/394	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:54%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Chart/corporate-chart-lines.png	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Chart/corporate-chart-lines.png	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:55	9928/9928	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2009:34:47%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Chart/corporate-chart-lines.png	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Chart/corporate-chart-lines.png	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:56	388/388	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:55%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-1.png	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-1.png	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:57	388/388	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:56%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-2.png	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-2.png	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:57	109332/109332	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2009:35:29%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-1.png	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-1.png	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:58	388/388	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:57%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-3.png	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-3.png	(from https://revolution.themepunch.com/corporate-website-template/)
13:21:58	89235/89235	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2009:35:29%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-2.png	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-2.png	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:00	96966/96966	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2009:35:29%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-3.png	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-News/corporate-news-3.png	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:00	396/396	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:21:58%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Hiring/corporate-hiring-cover.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Hiring/corporate-hiring-cover.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:01	404/404	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:00%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-1.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-1.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:01	163027/163027	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:28%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Hiring/corporate-hiring-cover.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Hiring/corporate-hiring-cover.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:01	5309/5309	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:33%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-1.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-1.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:02	404/404	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:01%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-2.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-2.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:02	7735/7735	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202019%2009:35:34%20GMT	https://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-2.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-2.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
13:22:03	404/404	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Oct%202019%2005:22:03%20GMT	http://revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-3.jpg	C:/My%20Web%20Sites/revcorp/revolution.themepunch.com/wp-content/uploads/revslider/Corporate-Testimonials/corporate-testimonials-3.jpg	(from https://revolution.themepunch.com/corporate-website-template/)
